"","cata","title","date","year","time","re","fw"
"120","爆卦"," 一個波爸的事蹟","5/07",2009,2009-05-07,FALSE,FALSE
"121","爆卦"," 關於H1N1病例","5/10",2009,2009-05-10,FALSE,FALSE
"122","爆卦"," 省立桃園醫院延誤治療","5/11",2009,2009-05-11,FALSE,FALSE
"123","新聞"," 子殺人棄屍 父母翻臉不認子","5/13",2009,2009-05-13,TRUE,FALSE
"124","轉錄","[波波] 我夢到，請幫忙轉八卦","5/14",2009,2009-05-14,TRUE,FALSE
"125","爆卦"," 逍遙在LA的王老先生(有圖有真相)","5/17",2009,2009-05-17,FALSE,FALSE
"126","政八"," 原來嗆葉金川的女生是民進黨義工","5/18",2009,2009-05-18,FALSE,FALSE
"127","政八"," 今天公佈的WHA參與名冊","5/18",2009,2009-05-18,FALSE,FALSE
"128","問卦"," 廚餘回收的八卦","5/18",2009,2009-05-18,FALSE,FALSE
"129","新聞"," 葉氣哭 要追究嗆聲2女","5/19",2009,2009-05-19,TRUE,FALSE
"130","問卦"," 盧安達飯店的八卦","5/20",2009,2009-05-20,TRUE,FALSE
"131","====道歉文","  致 八 卦 版 主 和 鄉 民=======","5/21",2009,2009-05-21,FALSE,FALSE
"132","新聞"," 虐殺員工 女店長判刑12年","5/22",2009,2009-05-22,TRUE,FALSE
"133","問卦"," 來自日本的救命簽證--杉原千畝","5/24",2009,2009-05-24,TRUE,FALSE
"134","轉錄"," 台灣學生遭波蘭家長恐嚇!531請大家站出來!","5/25",2009,2009-05-25,FALSE,FALSE
"135","問卦"," 有沒有末代皇帝的無能八卦？","5/31",2009,2009-05-31,TRUE,FALSE
"136","問卦"," 母親節繪畫比賽第二名...","6/01",2009,2009-06-01,FALSE,FALSE
"137","問卦"," 有沒有台灣穀災的八卦？","6/02",2009,2009-06-02,FALSE,FALSE
"138","新聞"," 採購團》台灣面板 有多少 買多少","6/03",2009,2009-06-03,TRUE,FALSE
"139","問卦"," 湖口軍變","6/04",2009,2009-06-04,TRUE,FALSE
"140","爆卦","貓纜T15塔柱邊坡後方倒塌照片","6/04",2009,2009-06-04,FALSE,FALSE
"141","新聞"," 天安門事件 肉身擋戰車的謎樣男子","6/04",2009,2009-06-04,TRUE,FALSE
"142","新聞"," 查承包「入聯公投」　檢搜吳念真辦公室","6/05",2009,2009-06-05,TRUE,FALSE
"143","爆卦"," 空姐縣長","6/07",2009,2009-06-07,FALSE,FALSE
"144","新聞"," 四大黑店現形 北市籲民眾拒買","6/08",2009,2009-06-08,TRUE,FALSE
"145","問卦"," 我剛剛看到有人把嬰兒丟到舊衣回收箱內","6/08",2009,2009-06-08,FALSE,FALSE
"146","爆卦"," 某藝人自殺了","6/08",2009,2009-06-08,TRUE,FALSE
"147","問卦"," 信箱收到的當醫生不再是夢 大陸醫科給","6/09",2009,2009-06-09,TRUE,FALSE
"148","新聞"," 8成履歷 看過就忘 新鮮人態度 勝出關鍵","6/11",2009,2009-06-11,TRUE,FALSE
"149","徵文"," 人力銀行事件懶人包 1.0版","6/11",2009,2009-06-11,FALSE,FALSE
"150","徵文"," 人力銀行事件懶人包 1.0版精簡版","6/12",2009,2009-06-12,FALSE,FALSE
"151","新聞"," 快訊／顏聖冠、楊蕙如百貨公司前遭打傷","6/17",2009,2009-06-17,TRUE,FALSE
"152","新聞"," 惡少自豪講義氣 打死人毫無悔意","6/17",2009,2009-06-17,TRUE,FALSE
"153","新聞"," 惡少自豪講義氣 打死人毫無悔意","6/18",2009,2009-06-18,TRUE,FALSE
"154","爆卦"," 阿公托夢 要我報鄉民好康的","6/26",2009,2009-06-26,FALSE,FALSE
"155","爆卦"," 麥克傑克森 走了?!","6/26",2009,2009-06-26,TRUE,FALSE
"156","轉錄","Re: 看過舉手(有關麥可傑克森謠言的澄清)","6/27",2009,2009-06-27,FALSE,FALSE
"157","問卦"," 有沒有北車一堆推銷傢伙的八掛","6/27",2009,2009-06-27,FALSE,FALSE
"158","公告"," Gossiping 賭盤開獎","6/28",2009,2009-06-28,FALSE,FALSE
"159","問卦"," 現在還有沒有老爸犯法害了兒子的事情?","7/01",2009,2009-07-01,TRUE,FALSE
"160","轉錄","【新聞】麥克傑克遜被忽略的善舉：創慈 ","7/02",2009,2009-07-02,TRUE,FALSE
"161","新聞"," 俄國人酒喝得兇 領導人引以為憂","7/04",2009,2009-07-04,TRUE,FALSE
"162","問卦"," 有沒有超商食物製造情形的八卦?","7/04",2009,2009-07-04,TRUE,FALSE
"163","問卦"," 有沒有魔戒裡面最強戰士山姆的設定","7/06",2009,2009-07-06,TRUE,FALSE
"164","問卦"," 有沒有呂樂的八卦？","7/08",2009,2009-07-08,TRUE,FALSE
"165","爆卦"," 關於內湖捷運","7/11",2009,2009-07-11,FALSE,FALSE
"166","公告"," ipobar投票案取消相關說明","7/13",2009,2009-07-13,FALSE,FALSE
"167","轉錄","[公告] 本站不歡迎ipobar及王浩宇相關人士","7/13",2009,2009-07-13,FALSE,FALSE
"168","論卦"," Ipobar 事件懶人包","7/13",2009,2009-07-13,FALSE,FALSE
"169","轉錄"," ipobar事件懶人包 (最新版本請洽站史板)","7/13",2009,2009-07-13,FALSE,FALSE
"170","問卦"," 女王到底是什麼來頭呀?","7/13",2009,2009-07-13,FALSE,FALSE
"171","新聞"," Google向微軟丟了一個原子彈","7/14",2009,2009-07-14,TRUE,FALSE
"172","問卦"," 有沒有地震震度都用幾顆原子彈來表示的 ","7/14",2009,2009-07-14,TRUE,FALSE
"173","新聞"," 哈利波特超級影迷因提前得知劇情自殺身亡","7/15",2009,2009-07-15,TRUE,FALSE
"174","轉錄","[心情]請大家能幫幫忙我們的力量很微小","7/16",2009,2009-07-16,FALSE,FALSE
"175","新聞"," 聽奧開幕倒數幕後仍手忙腳亂 硬體建構ꤠ","7/17",2009,2009-07-17,TRUE,FALSE
"176","問卦"," mini 現在在康熙","7/17",2009,2009-07-17,TRUE,FALSE
"177","論卦"," 0718波波主要事件影片懶人包","7/18",2009,2009-07-18,FALSE,FALSE
"178","Gossiping"," 看板 選情報導","7/19",2009,2009-07-19,FALSE,FALSE
"179","論卦"," 世運的小八卦","7/22",2009,2009-07-22,TRUE,FALSE
"180","問卦"," 手語","7/22",2009,2009-07-22,TRUE,FALSE
"181","論卦"," 永春計劃區兩度「不小心倒廢土」懶人包","7/22",2009,2009-07-22,FALSE,FALSE
"182","問卦"," 請問一下有沒有烘爐地的八卦阿?","7/24",2009,2009-07-24,TRUE,FALSE
"183","爆卦"," 苗栗縣令 瘤正紅 欺壓良民!","7/24",2009,2009-07-24,FALSE,FALSE
"184","爆掛"," 全民動物醫院 獸醫","7/24",2009,2009-07-24,TRUE,FALSE
"185","新聞"," 波蘭醫學生遭污名化 台灣留學生忿忿不平","7/24",2009,2009-07-24,TRUE,FALSE
"186","爆卦"," 龍與屎","7/25",2009,2009-07-25,FALSE,FALSE
"187","論卦"," KIKI屋事件簡易懶人包  1.0 alpha","7/27",2009,2009-07-27,FALSE,FALSE
"188","問卦"," 有沒有戰國時代的兵力數字的八卦?","7/28",2009,2009-07-28,TRUE,FALSE
"189","新聞"," 台語被稱閩南語 學者明抗議教部","7/30",2009,2009-07-30,TRUE,FALSE
"190","新聞"," 選戰號角響　綠網軍密集訓攻網路","7/30",2009,2009-07-30,TRUE,FALSE
"191","問卦"," 有沒有AMD的八卦","7/31",2009,2009-07-31,TRUE,FALSE
"192","新聞"," U.S./ China agree on economic strate ","7/31",2009,2009-07-31,TRUE,FALSE
"193","爆卦"," 人氣PTT之站長Junchoon為網路紅店違法濫權","8/01",2009,2009-08-01,TRUE,FALSE
"194","爆卦"," 剛剛看到許安安在LA的夜店","8/02",2009,2009-08-02,FALSE,FALSE
"195","問掛"," 有沒有賣當當推出原味冰炫風的八卦","8/03",2009,2009-08-03,TRUE,FALSE
"196","新聞"," 台灣寢具產業「勢必崩潰」","8/04",2009,2009-08-04,TRUE,FALSE
"197","新聞"," 轟趴瘋一夜 16歲少年暴斃","8/04",2009,2009-08-04,TRUE,FALSE
"198","新聞"," 女王購屋術：能增值的才買","8/05",2009,2009-08-05,TRUE,FALSE
"199","論卦"," 內湖木柵線捷運通車故障記錄懶人包","8/06",2009,2009-08-06,FALSE,FALSE
"200","問卦"," 有哪些職業很賺但一般人不知道的?","8/06",2009,2009-08-06,TRUE,FALSE
"201","問卦"," 有WCG的八卦嗎?","8/07",2009,2009-08-07,TRUE,FALSE
"202","問卦"," 有沒有新竹尖石鄉五峰鄉的八卦？","8/07",2009,2009-08-07,TRUE,FALSE
"203","問卦"," 水庫積砂不清---颱風來再俇洩","8/08",2009,2009-08-08,TRUE,FALSE
"204","問卦"," ====災害通報專線====","8/08",2009,2009-08-08,FALSE,FALSE
"205","論卦"," 家裡電器設備淹水時與之後的處理措施","8/09",2009,2009-08-09,FALSE,FALSE
"206","轉錄","[公告] 徵求物資寄到高市府轉交屏東縣政府","8/09",2009,2009-08-09,FALSE,FALSE
"207","新聞"," 興大發明橋墩套套 抗洪水不軟腳","8/10",2009,2009-08-10,TRUE,FALSE
"208","討論"," 關於「心得文」，請問板友們的看法？","8/12",2009,2009-08-12,FALSE,FALSE
"209","問卦"," 馬英九勘災　少女哭倒在懷裡","8/12",2009,2009-08-12,TRUE,FALSE
"210","爆卦"," 不願面對的真相...小林村...","8/12",2009,2009-08-12,FALSE,FALSE
"211","爆卦"," 一個多年前的小故事","8/13",2009,2009-08-13,FALSE,FALSE
"212","轉錄","君悅捐款","8/13",2009,2009-08-13,FALSE,FALSE
"213","轉錄","[資訊] 關於直昇機的一些知識","8/13",2009,2009-08-13,FALSE,FALSE
"214","爆卦","why48-87水災88集集地震98-88水災全在尾數8","8/13",2009,2009-08-13,FALSE,FALSE
"215","轉錄","[心得] 年代不理call in? 事實有必要澄清 ","8/14",2009,2009-08-14,TRUE,FALSE
"216","轉錄","[夭壽] 以前家人受過屏東人的恩惠，希望 ","8/14",2009,2009-08-14,FALSE,FALSE
"217","問卦"," 關於騜這次處理不當的懶人包","8/14",2009,2009-08-14,TRUE,FALSE
"218","綜述"," 治國週記（一）","8/14",2009,2009-08-14,FALSE,FALSE
"219","問卦"," 有沒有不沾鍋變垃圾的八卦?","8/14",2009,2009-08-14,TRUE,FALSE
"220","問卦"," 土石流成因","8/14",2009,2009-08-14,FALSE,FALSE
"221","問卦"," 土石流成因","8/14",2009,2009-08-14,TRUE,FALSE
"222","問卦"," 土石流成因","8/14",2009,2009-08-14,TRUE,FALSE
"223","問卦"," 土石流成因","8/15",2009,2009-08-15,TRUE,FALSE
"224","綜述"," 鄉民和網友的《救國週記》","8/15",2009,2009-08-15,FALSE,FALSE
"225","爆卦"," 關於拒絕國外援助，看到某人的夢境","8/16",2009,2009-08-16,FALSE,FALSE
"226","爆卦"," 假災民，真會演","8/16",2009,2009-08-16,TRUE,FALSE
"227","爆卦"," 假災民，真會演","8/16",2009,2009-08-16,TRUE,FALSE
"228","爆卦"," 假災民，真會演","8/16",2009,2009-08-16,TRUE,FALSE
"229","爆卦"," 花蓮X記麻糬","8/17",2009,2009-08-17,FALSE,FALSE
"230","爆卦"," 花蓮X記麻糬","8/17",2009,2009-08-17,TRUE,FALSE
"231","爆卦"," 花蓮X記麻糬","8/17",2009,2009-08-17,TRUE,FALSE
"232","Live"," 馬英九總統記者會","8/18",2009,2009-08-18,FALSE,FALSE
"233","爆卦"," 總統談話重點整理","8/18",2009,2009-08-18,FALSE,FALSE
"234","爆卦"," 索羅門群島人民捐贈一千索幣慰問台灣風災","8/18",2009,2009-08-18,FALSE,FALSE
"235","問卦"," 有人知道馬總統所說的「撤離」的意思是？","8/18",2009,2009-08-18,TRUE,FALSE
"236","爆卦"," 有-4抽獎其實是騙人的八卦嗎?","8/19",2009,2009-08-19,TRUE,FALSE
"237","新聞"," 來不及當新鮮人　小林雄女學生遭埋 ","8/20",2009,2009-08-20,TRUE,FALSE
"238","爆卦"," 土地銀行準備全民釋股！","8/20",2009,2009-08-20,FALSE,FALSE
"239","志工"," 旗山長老教會徵求志工","8/20",2009,2009-08-20,FALSE,FALSE
"240","新聞"," 高金收大陸1億捐款　陸委會：不妥","8/21",2009,2009-08-21,TRUE,FALSE
"241","問卦"," 美國健保辦不起來?","8/22",2009,2009-08-22,TRUE,FALSE
"242","問卦"," 美國健保辦不起來?","8/22",2009,2009-08-22,TRUE,FALSE
"243","爆卦"," x視記者威脅國軍","8/25",2009,2009-08-25,FALSE,FALSE
"244","爆卦"," x視記者威脅國軍","8/25",2009,2009-08-25,TRUE,FALSE
"245","爆卦"," x視記者威脅國軍","8/25",2009,2009-08-25,TRUE,FALSE
"246","懶人"," x視記者威脅國軍 爆料反被爆之 懶人包","8/25",2009,2009-08-25,FALSE,FALSE
"247","簡述"," x視記者威脅國軍","8/25",2009,2009-08-25,FALSE,FALSE
"248","爆卦"," x視記者威脅國軍","8/25",2009,2009-08-25,TRUE,FALSE
"249","問卦"," 請問有shara的八卦嗎??","8/26",2009,2009-08-26,TRUE,FALSE
"250","論卦"," 莎拉之亂懶人包","8/26",2009,2009-08-26,TRUE,FALSE
"251","懶人"," 八卦板沙印之戰大事記","8/26",2009,2009-08-26,FALSE,FALSE
"252","論卦"," 雞雞之亂  懶人包","8/27",2009,2009-08-27,FALSE,FALSE
"253","論卦"," 雞雞之亂  懶人包","8/27",2009,2009-08-27,TRUE,FALSE
"254","懶人","    牛肉之亂    懶人包","8/27",2009,2009-08-27,FALSE,FALSE
"255","懶人"," 徐律師與七七八八的戰爭","9/01",2009,2009-09-01,FALSE,FALSE
"256","新聞"," 拷秋勤 163國追隨喊台灣 國際性JFP獲2  ","9/03",2009,2009-09-03,TRUE,FALSE
"257","爆卦"," 拉美見聞","9/06",2009,2009-09-06,FALSE,FALSE
"258","爆卦"," 拉美見聞","9/10",2009,2009-09-10,TRUE,FALSE
"259","問卦","中央加碼補助柵湖線 馬英九花50億元遮羞","9/10",2009,2009-09-10,TRUE,FALSE
"260","轉錄","[宣判] killla 申訴 JasonBourne 案","9/23",2009,2009-09-23,TRUE,FALSE
"261","新聞"," 吵架一別15年 夫妻靠車籍重逢","9/30",2009,2009-09-30,TRUE,FALSE
"262","新聞"," 海基會擁41億大陸捐款？　吳敦義：僅8ꐠ","10/02",2009,2009-10-02,TRUE,FALSE
"263","公告"," 板主 JasonBourne 警告一次","10/06",2009,2009-10-06,FALSE,FALSE
"264","爆卦"," 虯髯客","10/06",2009,2009-10-06,FALSE,FALSE
"265","公告"," 板主 JasonBourne 予以解職","10/12",2009,2009-10-12,FALSE,FALSE
"266","論卦"," 真正的現代奴隸制度","10/22",2009,2009-10-22,TRUE,FALSE
"267","新聞"," 中職／兄弟象證實 曹錦輝將被約談","10/26",2009,2009-10-26,TRUE,FALSE
"268","新聞","  郭彥甫遭控劈3女 迷戀全裸視訊","10/28",2009,2009-10-28,TRUE,FALSE
"269","問卦"," 我爸得了胰臟癌了......","11/07",2009,2009-11-07,TRUE,FALSE
"270","爆卦"," 拉美見聞","11/08",2009,2009-11-08,TRUE,FALSE
"271","問卦"," 有沒有當年孫悟空大鬧天宮的八卦?","11/21",2009,2009-11-21,TRUE,FALSE
"272","爆卦","鷌鸚鳩的無恥與陰謀","11/22",2009,2009-11-22,FALSE,FALSE
"273","新聞"," 就醫52天 27歲女大腸癌奪命","12/04",2009,2009-12-04,TRUE,FALSE
"274","問掛"," 鄭弘儀猛批打疫苗　楊志良：理盲又濫情","12/16",2009,2009-12-16,TRUE,FALSE
